Model,Target,MSE,MAE,R2
Linear Regression,mels_S,2.451215885212349,0.9912768353038438,0.5001141179580648
Linear Regression,lig_S,1.7356923151859505,0.9594412324875755,0.27525433559666157
Linear Regression,mels_N,4.842286550049585,1.3129685627223255,0.6976288650514643
Linear Regression,hvac_N,18.994222603228,2.8294016906338957,0.36585049257476154
Linear Regression,hvac_S,45.547608383502464,4.929653261515137,0.7183429729546627
Polynomial Linear Regression,mels_S,0.96035136597787,0.5766746866739328,0.8041518527404465
Polynomial Linear Regression,lig_S,1.1982346861483844,0.6577108123372626,0.4996720408762654
Polynomial Linear Regression,mels_N,2.4175313613593974,0.892923296774097,0.8490399744103466
Polynomial Linear Regression,hvac_N,6.951392289110089,1.5525977975189698,0.7679177459303018
Polynomial Linear Regression,hvac_S,19.544997947996336,2.8382182132827336,0.879137759126914
Random Forest,mels_S,0.14382462733177553,0.16690562794113215,0.9706692906459894
Random Forest,lig_S,0.49985183332951405,0.36084302516738037,0.7912847537088883
Random Forest,mels_N,0.5863490185398627,0.47392804460816557,0.963386095312752
Random Forest,hvac_N,2.3417399821425153,0.7568724295488275,0.9218176343820836
Random Forest,hvac_S,8.861893201359786,1.82920875342139,0.9451998780688483
SVR,mels_S,0.7252082673077297,0.37673420971665444,0.8521054891353144
SVR,lig_S,0.9788544083563984,0.5099548768758435,0.5912752033689841
SVR,mels_N,2.699165219170575,0.7390822267842893,0.8314536650612173
SVR,hvac_N,6.5170642142038755,1.20019546525763,0.7824184149240367
SVR,hvac_S,21.44595338349687,2.808059674740001,0.8673826423269135
Gradient Boosting,mels_S,0.6694119044203548,0.4356746825326782,0.8634842559934081
Gradient Boosting,lig_S,0.8933832158960872,0.5929806892839617,0.62696406113774
Gradient Boosting,mels_N,1.7103967790955654,0.7778927352743502,0.8931961977132167
Gradient Boosting,hvac_N,4.936772679584148,1.2312153290905516,0.835178726267185
Gradient Boosting,hvac_S,15.523682976710619,2.6186456921509724,0.9040047424839476
